zincid,smiles,consensus_score
ZINC000193666745,COC[C@@H](NCc1noc(-c2ccccc2C)n1)c1ccc(Cl)cc1,0.546599955270861
ZINC000462734158,C[C@@H]1C[C@@H](NCc2cc(Cl)c3c(c2)OCCCO3)C(=O)N1c1ccccc1,0.5789508992019803
ZINC000572429281,CSc1ccc(NC(=O)C(=O)N2CCC[C@H](c3ccccc3)C2)cn1,0.6008222778718839
ZINC000472282737,CCCOc1ccc(CNC(=O)N2CC[C@@H](C)[C@H]2C)c(OC(F)F)c1,0.5294578310185316
ZINC001142012768,CC(C)(C)OC(=O)Nc1nc(Cl)ccc1NC(=O)Cc1ccc(F)cn1,0.5607482169570741
ZINC001191885386,COc1cc2c(cc1OC)CN(C(=O)c1ccc(F)c(F)c1Br)C2,0.5252682072004295
ZINC000897091339,Cc1nc2cc(F)c(F)cc2n1Cc1nc(C[C@H]2COc3ccccc32)no1,0.6675933623509487
ZINC000494216600,C[C@H](NC(=O)CN[C@@]1(C)CCO[C@@H]1C)c1ccc(OC(F)(F)F)cc1,0.4574459353274093
ZINC000830974482,Cn1c(CNCc2cccc3c2N(C(=O)O)CC3)nc2cc(F)ccc21,0.5945850524350578
ZINC000480803383,C=C(C)Cn1c(SCC(=O)N2CCc3cc(F)c(F)cc32)nnc1-c1ccco1,0.6316352774327962
ZINC000435903490,C[C@H](Oc1cccc2ccccc21)C(=O)NCCOc1ncccc1F,0.5851470795090028
ZINC000273184089,Cc1cc(C)c(C(=O)Nc2ccc(C)c(-c3nnnn3C3CC3)c2)c(O)n1,0.6152445614552964
ZINC000418594991,C[C@H](Cc1ccccc1C(F)(F)F)N(C)C(=O)N[C@@H]1CCNC[C@H]1C,0.4330376228869014
ZINC000107484378,Cc1oc(-c2ccco2)nc1CC(=O)N[C@@H]1C[C@H]1c1ccc(Cl)cc1,0.595917802390957
ZINC000542612109,CC(C)c1nc(CN[C@@H](C)c2nc(-c3ccc(Br)cc3)no2)no1,0.456179253694452
ZINC000457102997,CCCc1[nH]nc(C(=O)N[C@@H]2CC[C@@H](c3cccc(Cl)c3)C2)c1[N+](=O)[O-],0.5237279611220792
ZINC000262079026,O=C(O)[C@@H]1CCCCN1C(=O)COC(c1ccccc1)c1ccccc1,0.5804414224650366
ZINC000555609320,COc1cc(CNCC(C)(F)F)cc(I)c1OC,0.4311996187306399
ZINC000102137524,C[C@@H]1CCCC[C@@H]1NC(=O)CSc1nc(=O)cc(O)n1C1CCCC1,0.5433171132857739
ZINC000519230330,CC[C@@H](NC(=O)C(=O)N1CCC[C@@H]1c1cc(C)no1)c1c(C)noc1C,0.5396692002411847
ZINC000516390715,COc1ccc(Br)c2[nH]c(C(=O)Nc3c(C)n[nH]c3C)cc21,0.514348420110577
ZINC000844557877,CCCSc1nsc(NC(=O)N[C@H](C)[C@](C)(O)c2ccccc2)n1,0.530772540728278
ZINC000176705470,CCOc1ccc(OC)cc1NS(=O)(=O)/C=C/c1ccc(F)cc1,0.5234821387089608
ZINC000425521931,COC(=O)[C@@H]1CN([C@@H]2CCCC[C@H]2O)C[C@H]1c1ccc(Br)cc1,0.4889905759786171
ZINC000418933445,CCC(CC)[C@@H](NC(=O)C(=O)N1CC[C@](C)(CN)C1)c1cccs1,0.4793999158716005
ZINC000663679402,C=CC[C@H]1CCCC[C@H]1NC(=O)N(Cc1ccc(C(N)=O)cc1)C1CC1,0.5423950472810805
ZINC000630308954,COc1ccc2c(c1)CCC[C@@H]2CC(=O)N1C[C@H](OC)C[C@]1(C)C(=O)O,0.5654131103941505
ZINC000270469962,O=C(c1ccc(S(=O)(=O)C(F)F)cc1)N1CC=C(C(F)(F)F)CC1,0.50282544494843
ZINC000479742669,CC(C)[C@H](CC(F)(F)F)NC(=O)N(CCO)Cc1ccc(Br)s1,0.3704847699470683
ZINC000467461185,Cc1cc(=NC(=O)N[C@@H](c2cccs2)c2ccc(Cl)cc2)[nH]nc1C,0.5706147209729409
ZINC000830673311,Cn1nc2cc(Br)ccc2c1C(=O)OCc1ncc(C(C)(C)C)o1,0.5468582625015452
ZINC000610922490,N#Cc1ccc(N2CCC[C@H]2C(=O)N2Cc3ccccc3C(F)(F)C2)cc1,0.6570188197826903
ZINC000498595559,COC[C@H](Cc1ccccc1)NC(=O)N[C@H](CCO)c1ccc(Cl)c(Cl)c1,0.5438006795066868
ZINC000135312461,O=C(Nc1ccc(F)c(Br)c1)c1ccccc1OC(F)F,0.5362412834307894
ZINC000481626069,C=C(C)[C@@H](NCCOc1ccc(S(=O)(=O)N(C)C)cc1)c1ccc(F)c(F)c1,0.5562151017615589
ZINC000677999446,CCCn1cc(C(=O)N2CCCc3cc(OC(F)(F)F)ccc32)nn1,0.522357973661953
